Modulo,Proceso,Area,Accion,Problema,Solucion,CausaRaiz,CausaGeneral
"TAR","Otro","Técnico de Seguridad","Revisión de información ingresada/sistema","Error al acceder a la plataforma, pantalla emergente arroja un mensaje de error en el servidor no puedo acceder a nada de la plataforma","Problema: El usuario federico.calderon@kof.com reporta bloqueo total de la plataforma por ""Error en el servidor"" al intentar acceder en la UO Apatzingán.

Causa: Conflicto de archivos temporales (caché/cookies) o inestabilidad en la sesión del navegador que impide la carga correcta de los scripts del servidor.

Solución: * Instrucción Técnica: Se enviaron guías detalladas para la depuración de caché y cookies en Chrome y Edge.

Descarte de Red: Se sugirieron pruebas en modo incógnito, cambio de navegador y revisión de la conexión física (Ethernet) para descartar intermitencias de red local.","Consulta informativa","Incidencias en Procesos/Administrativos"
"ON Boarding","","Contratista","","Realise el examen con respuestas de 10 de 10 y me dan una respuesta negativa","Problema: El usuario reporta resultado negativo en examen a pesar de haber contestado todas las preguntas correctamente.

Causa: Error de percepción o desfase en la interfaz de usuario/notificación. En la base de datos (ID 16937303507), el estatus real ya figura como aprobado.

Solución: Verificación de estatus en BD y confirmación de aprobación al usuario. Se ofrece el reenvío manual del certificado y QR en caso de falla en la recepción del correo.","Consulta informativa","Incidencias en Procesos/Administrativos"
"TAR","Listado de Personal","Contratista","Borrar/Eliminar","Se cargó un documento de un colaborador que no correspondía al trabajador por error. En el colaborador cuyo nombre es Erick de Jesus Torres Garcia con NSS 56170220729 se agregó un documento cuyo nombre es ""DC3-ALTURA-RICARDO GARCIA RODRIGUEZ"" por lo que solicito de su apoyo para la eliminación de ese archivo que no corresponde al colaboador.","Problema:
Se cargó por error un documento que no corresponde al colaborador Erick de Jesus Torres Garcia (NSS 56170220729) dentro del módulo de Listado de Personal.

Causa:
Error en la selección del archivo al momento de realizar la carga documental, adjuntando el documento “DC3-ALTURA-RICARDO GARCIA RODRIGUEZ” en el perfil de un colaborador distinto.

Solución:
Se realizó la eliminación del documento incorrecto en el sistema. Ya puede ingresar nuevamente para validar la información y, en caso necesario, cargar el archivo correspondiente al trabajador correcto.","Eliminación/Baja",""
"TAR","Alta de proyecto","Contratista","Borrar/Eliminar","Buenas tardes, podrian borrar la informacion solicitada por favor","Problema: dar de baja un proyecto dentro del proceso de Alta de proyecto.
Causa
La baja de un proyecto completo no puede ser gestionada directamente por el contratista, ya que por configuración del sistema esta acción corresponde únicamente al Técnico de Seguridad de la Unidad Operativa.
Solución
Se indicó al usuario que debe:

Contactar a su Técnico de Seguridad.

Solicitar formalmente la eliminación del proyecto.

Indicar el motivo de la baja (ej. duplicidad u otro).","Eliminación/Baja",""
"TAR","Alta de proyecto","Contratista","Consultas","Buenas tardes la unidad operativa Bodega papantla no se visualiza dentro de las opciones de la plataforma","Problema

La Unidad Operativa Bodega-Papantla no se encuentra disponible en la plataforma, por lo que no es posible visualizarla ni cargar información del proyecto.

Causa

La Unidad Operativa no se encuentra habilitada o configurada en el sistema, lo que impide su visualización y uso dentro de la plataforma.

Solución

El caso fue escalado al equipo de QSE para validar la configuración y habilitación de la Unidad Operativa.

Mientras se realiza la validación correspondiente, el proyecto deberá ejecutarse conforme al procedimiento anterior, es decir, sin el uso de la plataforma, hasta que la UO quede habilitada.","Consulta informativa","Incidencias en Procesos/Administrativos"
"TAR","Alta de proyecto","Técnico de Seguridad","Accesos (visualización/plataforma)","NO PUEDO VIZUALIZAR INFORMACIÓN QUE EL PROVEEDOR SUBE A LA PLATAFORMA","Problema
La usuaria indica que no puede visualizar la información que el proveedor sube a la plataforma.
 Causa
La información no es visible debido a que:
El proceso se encuentra candadeado, ya que no se ha aprobado completamente la documentación general.
El contratista aún no ha registrado:
Personal
Plan de rescate
Alcance
Al no existir un alcance registrado y aprobado, no se habilita la carga ni visualización del IPERC.
Solución
Se informó que para poder visualizar las siguientes etapas del proyecto:
El contratista debe completar la carga de la documentación pendiente (personal, plan de rescate y alcance).
Una vez que el alcance sea registrado y aprobado, se habilitarán las etapas subsecuentes, incluyendo IPERC.
Actualmente, la información no se visualiza porque no ha sido cargada por el contratista y el proceso permanece bloqueado hasta completar los requisitos previos.","Capacitación","Incidencias de Usuario"
"TAR","Análisis IPERC / AST","Contratista","Revisión de información ingresada/sistema","me aparece duplicada las ventanas del procedimiento operativo , por lo tanto genera casillas incensarías en el IPERC","Problema: El contratista indica que en la UO Comitán aparecen ventanas duplicadas del procedimiento operativo en el IPERC (OC 8331114685), generando campos extra innecesarios.

Causa: Error en la carga o persistencia de datos en el formulario del sistema que duplicaba los componentes visuales del análisis.

Solución: Se realizó la limpieza manual de los registros duplicados en la base de datos y se solicitó al usuario refrescar la página para confirmar la corrección.","Duplicidad de registros","Incidencias en Procesos/Administrativos"
"TAR","Alta de proyecto","Contratista","Consultas","Buenas tardes, Al momento de dar de alta un servicio la U.O Poniente 116 no se visualiza","Problema: El contratista indica que la Unidad Operativa ""Poniente 116"" no aparece disponible al intentar dar de alta el proyecto de la OC 5501171259.

Causa: Ausencia de la unidad en el catálogo visible del usuario o posible discrepancia en el nombre registrado en la base de datos.

Solución: Se solicitó al usuario la dirección completa de la unidad para validar la existencia en el sistema y, de ser necesario, gestionar la habilitación del catálogo con el área de QSE.","Consulta informativa","Incidencias en Procesos/Administrativos"
"TAR","Análisis IPERC / AST","Técnico de Seguridad","Revisión de información ingresada/sistema","no puedo visualizar el ast, ya se valido los proceos anteriores","Problema: Usuario de UO Ciudad Valles no visualiza el formato AST en la plataforma para la OC 4402145713.

Causa: Flujo lineal del sistema. El usuario intenta acceder al AST sin haber completado el paso obligatorio anterior (Registro de Precalificación Outside).

Solución: Se notificó al usuario que la plataforma requiere la aprobación del módulo ""Precalificación Outside"" como condición técnica para habilitar la visualización y llenado del AST.","Capacitación","Incidencias de Usuario"
"TAR","Alta de proyecto","Contratista","Borrar/Eliminar","Buenas tardes, me pueden apoyar eliminando información correspondiente a Planta San Juan del rio, ya que es informacion incorrecta","Problema: El contratista reporta información incorrecta en el alta del proyecto de la OC 5501170667 (Planta San Juan del Río) y solicita su eliminación.

Causa: Error en la carga de datos por parte del usuario. El sistema restringe la eliminación de proyectos al perfil de contratista para mantener la trazabilidad.

Solución: Se brindó asesoría sobre el flujo de trabajo. El usuario debe contactar al Técnico de Seguridad de su unidad para que este ejecute la baja, utilizando el campo de comentarios para justificar el movimiento.","Eliminación/Baja",""
"ON Boarding","","Contratista","","La plataforma me marca calificacion no aprobatoria, a pesar de que se contestaron correctamente las preguntas 3 veces","Problema: El usuario facturacionrosmig@gmail.com (RFC: CRO1607132C2) reporta que no puede aprobar el examen en plataforma tras 3 intentos, alegando respuestas correctas.

Causa: Incumplimiento de puntaje mínimo en una sección (obtuvo 70%). El usuario ya agotó el límite de 3 oportunidades configuradas en el sistema.

Solución: Se notificó al contratista sobre la sección no acreditada y se informó sobre la restricción de espera de 6 meses para un nuevo intento, conforme a la política vigente.","Consulta informativa","Incidencias en Procesos/Administrativos"
